,COMPOUND,YEAR,stateFIPS,COUNTY_CODE,LOW_ESTIMATE,HIGH_ESTIMATE,county,STATE,incidence_rate_per_100k,avg_annual_count,recent_trend,five_year_incidence_change_rate,incidence_rate_per_100k_low_95,incidence_rate_per_100k_high_95,five_year_incidence_change_rate_low_95,five_year_incidence_change_rate_high_95
164,Glyphosate,2014,5,1,133079.5,135255.2,Arkansas County,AR,494.1 ,121,stable,2.6 ,454.3,536.7,-2.2,7.5
165,Glyphosate,2015,5,1,121521.7,121879.3,Arkansas County,AR,494.1 ,121,stable,2.6 ,454.3,536.7,-2.2,7.5
166,Glyphosate,2014,5,3,74586.5,75304.5,Ashley County,AR,502.5 ,143,rising,5.7 ,465.2,542.1,0.1,11.7
167,Glyphosate,2015,5,3,87565.8,87662.5,Ashley County,AR,502.5 ,143,rising,5.7 ,465.2,542.1,0.1,11.7
168,Glyphosate,2014,5,5,68.8,68.8,Baxter County,AR,472.4 ,361,stable,0.6 ,448.4,497.6,-3.6,5.0
169,Glyphosate,2015,5,5,24.4,24.4,Baxter County,AR,472.4 ,361,stable,0.6 ,448.4,497.6,-3.6,5.0
170,Glyphosate,2014,5,7,1411.9,1411.9,Benton County,AR,441.7 ,"1,111",stable,0.1 ,430.0,453.6,-1.6,1.8
171,Glyphosate,2015,5,7,1485.4,1562.1,Benton County,AR,441.7 ,"1,111",stable,0.1 ,430.0,453.6,-1.6,1.8
172,Glyphosate,2014,5,9,729.7,729.7,Boone County,AR,467.9 ,241,stable,0.8 ,441.0,496.2,-5.4,7.3
173,Glyphosate,2015,5,9,859.5,861.9,Boone County,AR,467.9 ,241,stable,0.8 ,441.0,496.2,-5.4,7.3
174,Glyphosate,2014,5,11,22.8,52.2,Bradley County,AR,499.9 ,75,stable,-2.6 ,449.4,555.0,-15.6,12.4
175,Glyphosate,2015,5,11,8.0,20.3,Bradley County,AR,499.9 ,75,stable,-2.6 ,449.4,555.0,-15.6,12.4
176,Glyphosate,2014,5,13,17.5,40.3,Calhoun County,AR,541.2 ,41,stable,6.0 ,467.2,624.9,-10.7,25.7
177,Glyphosate,2015,5,13,6.2,15.6,Calhoun County,AR,541.2 ,41,stable,6.0 ,467.2,624.9,-10.7,25.7
178,Glyphosate,2014,5,15,739.5,739.5,Carroll County,AR,423.1 ,175,stable,5.0 ,394.1,454.0,-0.4,10.6
179,Glyphosate,2015,5,15,839.1,840.2,Carroll County,AR,423.1 ,175,stable,5.0 ,394.1,454.0,-0.4,10.6
180,Glyphosate,2014,5,17,140043.3,142658.0,Chicot County,AR,445.4 ,70,stable,0.7 ,398.3,496.9,-17.9,23.4
181,Glyphosate,2015,5,17,218168.8,218659.6,Chicot County,AR,445.4 ,70,stable,0.7 ,398.3,496.9,-17.9,23.4
